Gen_Index,commit_init,time_up_init,time_down_init
New Covert 1,0,0,100
New Covert 3,0,0,100
Ford Mill Block 1,0,0,100
Ford Mill Block 2,0,0,100
Ironwood CT 2,0,0,100
Ironwood CT 1,0,0,100
Ironwood CC 3,0,0,100
South Bend 1 (Armstrong),0,0,100
South Bend 2 (Armstrong),0,0,100
South Bend 3 (Armstrong),0,0,100
South Bend 4 (Armstrong),0,0,100
Troy 1,0,0,100
Troy 2,0,0,100
Troy 3,0,0,100
Troy 4,0,0,100
Oak Grove 1 (Pleasants),0,0,100
Oak Grove 2 (Pleasants),0,0,100
Dresden 1A,0,0,100
Dresden 1S,0,0,100
Dresden 1B,0,0,100
Cottonwood CT 3,0,0,100
Cottonwood CT 2,0,0,100
Cottonwood ST 3,0,0,100
Cottonwood CT 1,0,0,100
Cottonwood ST 1,0,0,100
Cottonwood ST 2,0,0,100
Cottonwood ST 4,0,0,100
Cottonwood CT 4,0,0,100
Gans 8 (AE8),0,0,100
Gans 9 (AE9),0,0,100
ComChes 6,0,0,100
ComChes 5,0,0,100
ComChes 4,0,0,100
ComChes 2,0,0,100
ComChes 3,0,0,100
ComChes 1,0,0,100
ComChes 7,0,0,100
Rockgen Peaker GT 2,0,0,100
Rockgen Peaker GT 3,0,0,100
Rockgen Peaker GT 1,0,0,100
Zion GT 3,0,0,100
Zion GT 2,0,0,100
Zion GT 1,0,0,100
Washington 13,0,0,100
Rolling Hills 1 (Flatlick),0,0,100
Rolling Hills 2 (Flatlick),0,0,100
Rolling Hills 5 (Flatlick),0,0,100
Rolling Hills 4 (Flatlick),0,0,100
Rolling Hills 3 (Flatlick),0,0,100
Bayou Cove CT 2,0,0,100
Bayou Cove CT 4,0,0,100
Bayou Cove CT 3,0,0,100
Elgin 3,0,0,100
Elgin 2,0,0,100
Elgin 1,0,0,100
Elgin 4,0,0,100
Fluvanna GT 32,0,0,100
Fluvanna GT 22,0,0,100
Fluvanna GS 12,0,0,100
Fluvanna GT 12,0,0,100
Lawrenceburg 2S,0,0,100
Lawrenceburg 1B,0,0,100
Lawrenceburg 2B,0,0,100
Lawrenceburg 2A,0,0,100
Lawrenceburg 1S,0,0,100
Lawrenceburg 1A,0,0,100
Waterford CT 1,0,0,100
Waterford ST 1,0,0,100
Waterford CT 3,0,0,100
Waterford CT 2,0,0,100
Ronco (Fayette),0,0,100
York CT 2 (Delta),0,0,100
York CT 1 (Delta),0,0,100
York CT 3 (Delta),0,0,100
York ST 4 (Delta),0,0,100
UPark 6 (North),0,0,100
UPark 4 (North),0,0,100
UPark 10 (North),0,0,100
UPark 11 (North),0,0,100
UPark 7 (North),0,0,100
UPark 2 (North),0,0,100
UPark 9 (North),0,0,100
UPark 1 (North),0,0,100
UPark 8 (North),0,0,100
UPark 3 (North),0,0,100
UPark 12 (North),0,0,100
UPark 5 (North),0,0,100
Chambersburg 13 (Guilford AE13),0,0,100
Chambersburg 12 (Guilford AE12),0,0,100
B Chambersburg 13 (CCLP),0,0,100
B Chambersburg 47 (CCLP),0,0,100
Mt Bethel CC 3,0,0,100
Mt Bethel CT 2,0,0,100
Mt Bethel CT 1,0,0,100
Bethlehem CT5,0,0,100
Bethlehem CT7,0,0,100
Bethlehem ST4,0,0,100
Bethlehem CT3,0,0,100
Bethlehem CT6,0,0,100
Bethlehem CT2,0,0,100
Bethlehem ST8,0,0,100
Bethlehem CT1,0,0,100
Fremont ST 3,0,0,100
Fremont CT 2,0,0,100
Fremont CT 1,0,0,100
Choctaw 3 CT,0,0,100
Choctaw 4 ST,0,0,100
Choctaw 2 CT,0,0,100
Choctaw 1 CT,0,0,100
Springdale 5 (AE5),0,0,100
Springdale 3 (AE3),0,0,100
Springdale 4 (AE4),0,0,100
Hanging Rock 1,0,0,100
Hanging Rock 2,0,0,100
Buchanan 1 (BuchanCO),0,0,100
Buchanan 2 (BuchanCO),0,0,100
Grand Central 2,0,0,100
Grand Central 3,0,0,100
Grand Central 1,0,0,100
MH 750 STM 1 (Phillips),0,0,100
MH 750 CT 1 (Phillips),0,0,100
MH 750 CT 3 (Phillips),0,0,100
MH 750 CT 2 (Phillips),0,0,100
Prairie State 1,0,0,100
Prairie State 2,0,0,100
Oaks LF 2,0,0,100
Oaks LF 1,0,0,100
Rockford 2/21,0,0,100
Lakewood CT1,0,0,100
Lakewood CT2,0,0,100
Warren County RR NUG,0,0,100
Warren County LF 1,0,0,100
Hunterstown CC 201,0,0,100
Hunterstown CC 401,0,0,100
Hunterstown CC 101,0,0,100
Hunterstown CC 301,0,0,100
Hamlet CT 6,0,0,100
Hamlet CT 4,0,0,100
Hamlet CT 2,0,0,100
Hamlet CT 5,0,0,100
Hamlet CT 1,0,0,100
Hamlet CT 3,0,0,100
Tosco (Linden CoGen),0,0,100
Summersville 2,0,0,100
Summersville 1,0,0,100
Hunlock 4,0,0,100
Columbus Renick Run 1,0,0,100
Columbus Renick Run 2,0,0,100
Columbus ST 8,0,0,100
Columbus ST 1,0,0,100
Columbus Dodge Park,0,0,100
Southern LF 5,0,0,100
Southern LF,0,0,100
Central LF,0,0,100
Greater Lebanon LF,0,0,100
Bethel Energy,0,0,100
Longview 1,0,0,100
Newland Park LF,0,0,100
Brunswick LF,0,0,100
Charles City Landfill,0,0,100
Chesterfield Landfill,0,0,100
King and Queen LF,0,0,100
Upton,0,0,100
Pine Grove LF,0,0,100
Rockville Diesel,0,0,100
Virginia Beach Landfill,0,0,100
Winnebago 3,0,0,100
Winnebago 4,0,0,100
Winnebago 2,0,0,100
Winnebago 1,0,0,100
Bear Garden,0,0,100
Virginia City 1,0,0,100
Haverhill 1,0,0,100
Ottawa County LF 1,0,0,100
Ottawa County LF 2,0,0,100
Ottawa County LF 3,0,0,100
Carbon Limestone LF 16,0,0,100
Carbon Limestone LF 7,0,0,100
Carbon Limestone LF 5,0,0,100
Carbon Limestone LF 1,0,0,100
Carbon Limestone LF 15,0,0,100
Carbon Limestone LF 9,0,0,100
Carbon Limestone LF 6,0,0,100
Carbon Limestone LF 10,0,0,100
Carbon Limestone LF 4,0,0,100
Carbon Limestone LF 3,0,0,100
Carbon Limestone LF 8,0,0,100
Carbon Limestone LF 12,0,0,100
Carbon Limestone LF 13,0,0,100
Carbon Limestone LF 14,0,0,100
Carbon Limestone LF 2,0,0,100
Carbon Limestone LF 11,0,0,100
Lorain County LF 9,0,0,100
Lorain County LF 7,0,0,100
Lorain County LF 6,0,0,100
Lorain County LF 8,0,0,100
Lorain County LF 10,0,0,100
Lorain County LF 4,0,0,100
Lorain County LF 2,0,0,100
Lorain County LF 1,0,0,100
Lorain County LF 5,0,0,100
Lorain County LF 3,0,0,100
Cumberland County LF,0,0,100
Shippensburg LF (Community Refuse),0,0,100
Northern Tier LF,0,0,100
Stafford LF,0,0,100
Broad Mountain 2 LF (Hegins),0,0,100
Pioneer Crossing LF,0,0,100
Arden LF,0,0,100
William Penn LF (Middle Peninsula),0,0,100
King George LF,0,0,100
Cleveland County CT 1,0,0,100
Glendon LF,0,0,100
Erie County LF 1,0,0,100
Henrico County LF,0,0,100
Geneva LF 2,0,0,100
Geneva LF 5,0,0,100
Geneva LF 4,0,0,100
Geneva LF 3,0,0,100
Geneva LF 1,0,0,100
Mahoning LF 3,0,0,100
Mahoning LF 4,0,0,100
Mahoning LF 2,0,0,100
Mahoning LF 1,0,0,100
Mahoning LF 5,0,0,100
Bellefontaine LF,0,0,100
Reichs Ford LF,0,0,100
Middletown Coke (Yankee 1 emkts),0,0,100
Salem County LF,0,0,100
Pleasantville 2,0,0,100
Pleasantville 3,0,0,100
Pleasantville 1,0,0,100
Sussex County LF,0,0,100
Burlington Cty LF 4,0,0,100
Burlington Cty LF 5,0,0,100
Burlington Cty LF 2,0,0,100
Burlington Cty LF 1,0,0,100
Burlington Cty LF 3,0,0,100
Northeast LF 4,0,0,100
Northeast LF 3,0,0,100
Northeast LF 1,0,0,100
Northeast LF 2,0,0,100
Evergreen 1,0,0,100
Edgeboro LF,0,0,100
Millersville LF 2,0,0,100
Millersville LF 1,0,0,100
Christiana 11,0,0,100
Christiana 14,0,0,100
Woodbine LF 2 (Cape May),0,0,100
Woodbine LF 1 (Cape May),0,0,100
Woodbine LF 3 (Cape May),0,0,100
Delaware City 03,0,0,100
Delaware City 06,0,0,100
Delaware City 10,0,0,100
Delaware City 07,0,0,100
Edge Moor 03,0,0,100
Edge Moor 10,0,0,100
Edge Moor 05,0,0,100
Edge Moor 04,0,0,100
Cleveland County CT 4,0,0,100
Indian River 10,0,0,100
Indian River 04,0,0,100
Berrien Springs LF 3,0,0,100
Berrien Springs LF 1,0,0,100
Berrien Springs LF 2,0,0,100
West 1,0,0,100
Orchard Hills LF 1,0,0,100
Orchard Hills LF 2,0,0,100
Dover McKee Run 3,0,0,100
Dover McKee Run 1,0,0,100
Dover McKee Run 2,0,0,100
Cook 1,0,0,100
Cook 2,0,0,100
Pleasants 1,0,0,100
Pleasants 2,0,0,100
Racine 1,0,0,100
Racine 2,0,0,100
Calvert Cliffs 1,0,0,100
Calvert Cliffs 2,0,0,100
Duck Creek 1,0,0,100
Newton 2,0,0,100
Newton 1,0,0,100
East Bend 2,0,0,100
Zimmer 1,0,0,100
Brandon Shores 2,0,0,100
Brandon Shores 1,0,0,100
Perry 1,0,0,100
Braidwood 2,0,0,100
Braidwood 1,0,0,100
Byron 2,0,0,100
Byron 1,0,0,100
Lasalle 2,0,0,100
Lasalle 1,0,0,100
Killen GT 1,0,0,100
Killen 2,0,0,100
Catawba 1,0,0,100
Beaver Valley 1,0,0,100
Beaver Valley 2,0,0,100
Spurlock 3,0,0,100
Spurlock 1,0,0,100
Spurlock 2,0,0,100
Spurlock 4,0,0,100
Big Cajun II 2,0,0,100
Big Cajun II 1,0,0,100
Big Cajun II 3,0,0,100
Trimble 2,0,0,100
Trimble 1,0,0,100
Mansfield 3,0,0,100
Mansfield 2,0,0,100
Mansfield 1,0,0,100
Susquehanna 2,0,0,100
Susquehanna 1,0,0,100
Limerick 2,0,0,100
Limerick 1,0,0,100
Gibson 5,0,0,100
Hope Creek 1,0,0,100
Davis Besse 1,0,0,100
Rockport 2,0,0,100
Rockport 1,0,0,100
Bath County 3,0,0,100
Bath County 6,0,0,100
Bath County 5,0,0,100
Bath County 2,0,0,100
Bath County 1,0,0,100
Bath County 4,0,0,100
North Anna 1,0,0,100
North Anna 2,0,0,100
Laurel,0,0,100
Mountaineer 1,0,0,100
Ocracoke 1,0,0,100
Center Hill 1,0,0,100
Center Hill 3,0,0,100
Center Hill 2,0,0,100
Cheatham 3,0,0,100
Cheatham 2,0,0,100
Cheatham 1,0,0,100
Yards Creek 3,0,0,100
Yards Creek 1,0,0,100
Yards Creek 2,0,0,100
London 1,0,0,100
London 2,0,0,100
London 3,0,0,100
Marmet 3,0,0,100
Marmet 1,0,0,100
Marmet 2,0,0,100
Winfield 3,0,0,100
Winfield 2,0,0,100
Winfield 1,0,0,100
Lake Lynn 3,0,0,100
Lake Lynn 2,0,0,100
Lake Lynn 1,0,0,100
Lake Lynn 4,0,0,100
Vineland Jet 1,0,0,100
Gravel Neck 3,0,0,100
Gravel Neck 4,0,0,100
Gravel Neck 5,0,0,100
Gravel Neck 2,0,0,100
Gravel Neck 1,0,0,100
Gravel Neck 6,0,0,100
Raystown,0,0,100
Forked River C1,0,0,100
Forked River C2,0,0,100
Hay Road CT6,0,0,100
Hay Road ST8,0,0,100
Hay Road CT3,0,0,100
Hay Road CT1,0,0,100
Hay Road CT2,0,0,100
Hay Road CT7,0,0,100
Hay Road CT5,0,0,100
Hay Road ST4,0,0,100
Woodsdale GT 3,0,0,100
Woodsdale GT 4,0,0,100
Woodsdale GT 6,0,0,100
Woodsdale GT 2,0,0,100
Woodsdale GT 1,0,0,100
Woodsdale GT 5,0,0,100
Darbytown 4,0,0,100
Darbytown 2,0,0,100
Darbytown 1,0,0,100
Darbytown 3,0,0,100
Clover 2,0,0,100
Clover 1,0,0,100
Lincoln 2,0,0,100
Lincoln 1,0,0,100
Lincoln 8,0,0,100
Lincoln 7,0,0,100
Lincoln 3,0,0,100
Lincoln 4,0,0,100
Lincoln 5,0,0,100
Lincoln 6,0,0,100
Sherman Avenue CT 1,0,0,100
Dover Parkland 11,0,0,100
Richmond CT 2,0,0,100
Richmond CT 1,0,0,100
Anderson CT 2,0,0,100
Anderson CT 3,0,0,100
Anderson CT 1,0,0,100
Bellville 1,0,0,100
Bellville 2,0,0,100
Pennsbury 1,0,0,100
Pennsbury 2,0,0,100
Fairless Hills B,0,0,100
Fairless Hills A,0,0,100
Tilton CT 2,0,0,100
Tilton CT 1,0,0,100
Tilton CT 4,0,0,100
Tilton CT 3,0,0,100
Montpelier 3,0,0,100
Montpelier 1,0,0,100
Montpelier 4,0,0,100
Montpelier 2,0,0,100
Rowan CT 2,0,0,100
Rowan CT 1,0,0,100
Rowan 4 CC,0,0,100
Rock Springs CT1,0,0,100
Rock Springs CT4,0,0,100
Rock Springs CT3,0,0,100
Rock Springs CT2,0,0,100
Marsh Run CT 2,0,0,100
Marsh Run CT 3,0,0,100
Marsh Run CT 1,0,0,100
Louisa CT 5,0,0,100
Louisa CT 2,0,0,100
Louisa CT 3,0,0,100
Louisa CT 4,0,0,100
Louisa CT 1,0,0,100
Remington 3,0,0,100
Remington 2,0,0,100
Remington 1,0,0,100
Remington 4,0,0,100
Ladysmith GT 2,0,0,100
Ladysmith GT 1,0,0,100
Ladysmith GT 3,0,0,100
Ladysmith GT 4,0,0,100
Ladysmith GT 5,0,0,100
Mone 1,0,0,100
Mone 3,0,0,100
Mone 2,0,0,100
Amelia Landfill,0,0,100
Clayton 2,0,0,100
Clayton 1 (Beasley),0,0,100
Mickleton CT 1,0,0,100
Three Mile Island 1,0,0,100
Croydon 11,0,0,100
Croydon 21,0,0,100
Croydon 32,0,0,100
Croydon 12,0,0,100
Croydon 22,0,0,100
Croydon 31,0,0,100
Croydon 41,0,0,100
Croydon 42,0,0,100
Gavin 1,0,0,100
Gavin 2,0,0,100
Seneca 1,0,0,100
Seneca 3,0,0,100
Seneca 2,0,0,100
Cheswick 1,0,0,100
Glen Gardner A3,0,0,100
Glen Gardner B8,0,0,100
Glen Gardner B6,0,0,100
Glen Gardner A4,0,0,100
Glen Gardner B7,0,0,100
Glen Gardner B5,0,0,100
Glen Gardner A2,0,0,100
Glen Gardner A1,0,0,100
E.D. Edwards 3,0,0,100
E.D. Edwards 1,0,0,100
E.D. Edwards 2,0,0,100
Coffeen 1,0,0,100
Coffeen 2,0,0,100
Dresden 3,0,0,100
Dresden 2,0,0,100
Joliet 6,0,0,100
Kincaid 1,0,0,100
Kincaid 2,0,0,100
Powerton 6,0,0,100
Powerton 5,0,0,100
Quad Cities 1,0,0,100
Quad Cities 2,0,0,100
Waukegan 7,0,0,100
Waukegan 32,0,0,100
Waukegan 31,0,0,100
Waukegan 8,0,0,100
Will County 4,0,0,100
Will County 3,0,0,100
Fisk 34,0,0,100
Fisk 33,0,0,100
Fisk 32,0,0,100
Fisk 31,0,0,100
Joppa 6,0,0,100
Joppa 5,0,0,100
Joppa 3,0,0,100
Joppa 2,0,0,100
Joppa 4,0,0,100
Joppa 1,0,0,100
Hennepin 2,0,0,100
Hennepin 1,0,0,100
Clifty Creek 6,0,0,100
Clifty Creek 4,0,0,100
Clifty Creek 3,0,0,100
Clifty Creek 5,0,0,100
Clifty Creek 1,0,0,100
Clifty Creek 2,0,0,100
Elkhart 3,0,0,100
Elkhart 2,0,0,100
Elkhart 1,0,0,100
Tanners Ck 2,0,0,100
Tanners Ck 1,0,0,100
Tanners Ck 3,0,0,100
Tanners Ck 4,0,0,100
Twinbrnch 5,0,0,100
Twinbrnch 2,0,0,100
Twinbrnch 4,0,0,100
Twinbrnch 1,0,0,100
Twinbrnch 8,0,0,100
Twinbrnch 6,0,0,100
Twinbrnch 7,0,0,100
Twinbrnch 3,0,0,100
DR1,0,0,100
DR2,0,0,100
DR3,0,0,100
DR4,0,0,100
DR5,0,0,100
